id,name,strategies,trades,wins,losses,win_rate,roi,final_capital
18,Channel_Breakout,"Breakout_20, Volume_Spike, Supertrend",105,19,86,18.1,17.42,11741.79
23,Multi_Timeframe_Entry,"EMA_Cross, MACD_Cross, Supertrend, ADX_Trend",102,18,84,17.65,12.59,11258.69
26,ADX_Strength_Entry,"ADX_Trend, EMA_Cross, Supertrend",118,19,99,16.1,12.41,11240.95
29,Supertrend_Reversal,"Supertrend, RSI_Oversold, Stochastic",207,32,175,15.46,-0.92,9907.71
22,VWAP_Trend_Follow,"VWAP, EMA_Cross, ADX_Trend",234,59,175,25.21,-22.24,7776.28
30,Conservative_Growth,"EMA_Cross, ADX_Trend, Trend_MA50, VWAP",205,35,170,17.07,-29.88,7012.2
19,Support_Bounce,"BB_Lower, VWAP, RSI_Oversold",386,116,270,30.05,-36.82,6317.84
20,Trend_Acceleration,"EMA_Cross, ADX_Trend, Volume_Spike, Trend_MA50",279,78,201,27.96,-37.55,6245.14
21,Bollinger_Squeeze_Entry,"BB_Lower, MACD_Cross, Stochastic",906,392,514,43.27,-40.2,5980.03
28,Breakout_Pullback,"Breakout_20, RSI_Oversold, BB_Lower",587,268,319,45.66,-42.3,5770.02
25,Stochastic_Cross_Pro,"Stochastic, MACD_Cross, Trend_MA50",1029,283,746,27.5,-50.0,4999.87
16,RSI_Extreme_Play,"RSI_Oversold, Stochastic, Trend_MA50",1036,285,751,27.51,-52.63,4736.77
24,Volume_Surge_Entry,"Volume_Spike, EMA_Cross, RSI_Oversold",881,268,613,30.42,-76.04,2395.7
17,MACD_Divergence,"MACD_Cross, EMA_Cross, BB_Lower",828,283,545,34.18,-78.51,2148.68
27,EMA_Retracement,"EMA_Cross, BB_Lower, RSI_Oversold",871,314,557,36.05,-79.17,2083.34
