name,Asset,Timeframe,ROI_per_annum,Win_Rate_Percent,Total_Trades,Profit_Factor,Gross_DD_Percent,Net_DD_Percent,Capital_At_Net_DD,Parameters,score
Breakout_ADX_Pro,ETHUSDT,1h,68.09,32.03,690,1.23,39.93,0.0,10000.0,"SL=1.5%, TP=15.0%, TS=1.5%",44.78775
High_Momentum_Entry,ETHUSDT,1h,68.09,32.03,690,1.23,39.93,0.0,10000.0,"SL=1.5%, TP=15.0%, TS=1.5%",44.78775
MACD_Breakout,BNBUSDT,4h,62.91,40.47,430,1.42,42.16,21.31,7868.73,"SL=4.0%, TP=15.0%, TS=1.5%",42.93975
Breakout_Cluster,ETHUSDT,1h,49.04,31.93,996,1.12,48.9,0.0,10000.0,"SL=2.0%, TP=15.0%, TS=2.5%",41.706500000000005
Aggressive_Entry,LINKUSDT,4h,52.94,25.62,562,1.25,40.38,1.04,9895.92,"SL=4.0%, TP=15.0%, TS=0.5%",39.88250000000001
Breakout_Cluster,AVAXUSDT,1h,47.38,28.48,990,1.1,54.31,32.99,6700.75,"SL=2.0%, TP=15.0%, TS=2.5%",39.385999999999996
EMA_Break_Momentum,BNBUSDT,4h,65.32,32.2,413,1.26,50.16,1.54,9846.04,"SL=2.0%, TP=15.0%, TS=2.5%",39.150999999999996
Aggressive_Entry,BNBUSDT,4h,45.12,28.97,504,1.3,44.14,3.3,9669.85,"SL=4.0%, TP=15.0%, TS=0.5%",37.746500000000005
Breakout_Cluster,ADAUSDT,4h,53.53,25.27,364,1.21,41.75,0.12,9987.63,"SL=2.5%, TP=15.0%, TS=1.5%",37.41075
MACD_Breakout,LINKUSDT,4h,42.03,31.96,510,1.18,44.79,0.0,10000.0,"SL=4.0%, TP=15.0%, TS=1.5%",36.95175
